"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-09-17,4,185,,2,,"185 lb || 2 reps","62"
"Barbell Squat",2012-09-17,5,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2012-09-17,6,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2012-09-17,7,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2012-09-17,8,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2012-09-17,9,235,,4,,"235 lb || 4 reps","118"
"Barbell Squat",2012-09-19,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-09-19,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-09-19,3,135,,3,,"135 lb || 3 reps","53"
"Barbell Squat",2012-09-19,4,185,,2,,"185 lb || 2 reps","62"
"Barbell Squat",2012-09-19,5,225,,1,,"225 lb || 1 reps","66"
"Barbell Squat",2012-09-19,6,240,,3,,"240 lb || 3 reps","107"
"Barbell Squat",2012-09-19,7,240,,3,,"240 lb || 3 reps","107"
"Barbell Squat",2012-09-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-09-22,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-09-22,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-22,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-09-22,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-09-22,6,240,,1,,"240 lb || 1 reps","73"
"Barbell Squat",2012-09-22,7,240,,3,,"240 lb || 3 reps","107"
"Barbell Squat",2012-09-22,8,240,,1,,"240 lb || 1 reps","73"
"Barbell Squat",2012-09-25,1,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2012-09-25,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-09-25,3,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2012-09-25,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-25,5,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2012-09-25,6,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2012-09-25,7,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2012-10-03,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-03,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-10-03,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-03,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-10-03,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-10-03,6,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2012-10-03,7,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2012-10-03,8,245,,1,,"245 lb || 1 reps","76"
"Barbell Squat",2012-10-06,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-06,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-10-06,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-06,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-10-06,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-10-06,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-10-06,7,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-10-06,8,225,,5,,"225 lb || 5 reps","121"
